,foodname_ESP,foodname_ENG,energy,fats,prot,water,fiber,carbs,m_unsat_fats,p_unsat_fats,sat_fats,palm_acid,chol,A,D,E,B9,B3,B2,B1,B12,B6,C,calcium,iron,potassium,magnesium,sodium,phosphorus,iodide,selenium,zinc,unsat_fats,salt,group
0,aceite de algodón,cotton oil,888.0,100.0,0.0,0.0,0.0,0.0,17.8,51.9,25.9,True,0.0,0.0,0.0,38.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.7,0.0,fats_oils
1,aceite de cacahuete,peanut oil,887.0,99.9,0.0,0.1,0.0,0.0,47.8,28.5,18.8,True,0.0,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3,0.0,fats_oils
2,aceite de coco,coconut oil,888.0,100.0,0.0,0.0,0.0,0.0,4.96,0.77,84.31,True,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,0.0,fats_oils
3,aceite de colza,rape oil,888.0,100.0,0.0,0.0,0.0,0.0,65.3,28.01,6.29,True,0.0,0.0,0.0,20.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.31,0.0,fats_oils
4,aceite de germen de trigo,wheat germ oil,887.0,99.9,0.0,0.1,0.0,0.0,15.1,61.7,18.8,False,0.0,0.0,0.0,215.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8,0.0,fats_oils
5,aceite de girasol,sunflower oil,887.0,99.9,0.0,0.0,0.0,0.0,25.38,63.5,10.62,True,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88,0.0,fats_oils
6,aceite de grano de uva,grape seed oil,887.0,99.9,0.0,0.1,0.0,0.0,15.6,67.7,12.2,True,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,0.0,fats_oils
7,aceite de hígado de bacalao,cod liver oil,887.0,99.9,0.0,0.1,0.0,0.0,44.6,30.5,21.1,False,650.0,20000.0,210.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1,0.0,fats_oils
8,aceite de lino,flaxseed oil,888.0,100.0,0.0,0.0,0.0,0.0,20.2,66.0,9.4,True,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.2,0.0,fats_oils
9,aceite de nuez,walnut oil,886.0,99.7908,0.0,0.0,0.0,0.0,17.1,69.0,9.3,True,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1,0.0,fats_oils
10,aceite de oliva,olive oil,887.0,99.9,0.0,0.1,0.0,0.0,71.0,11.93,17.06,True,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.93,0.0,fats_oils
11,aceite de oliva virgen extra,extra virgin olive oil,888.0,100.0,0.0,0.0,0.0,0.0,78.2,7.5,14.21,True,0.0,34.0,0.0,18.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7,0.0,fats_oils
12,"aceite de oliva virgen extra, producción ecologica","extra virgin olive oil, organic",888.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,34.0,0.0,19.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fats_oils
13,aceite de palma,palm oil,888.0,100.0,0.0,0.0,0.0,0.0,41.15,10.35,49.44,True,0.0,0.0,0.0,21.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,0.0,fats_oils
14,aceite de sésamo,sesame oil,888.0,100.0,0.0,0.0,0.0,0.0,39.7,41.7,14.2,True,0.0,0.0,0.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4,0.0,fats_oils
15,aceite de soja,"soye, oil",888.0,99.99,0.0,0.01,0.0,0.0,27.13,58.47,14.4,True,0.0,0.0,0.0,16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6,0.0,fats_oils
16,aceituna,olive,120.0,12.5,1.3,78.0,4.8,1.0,8.7,0.6,2.6,False,0.0,48.0,0.0,1.48,10.4,0.77,0.05,0.03,0.0,0.03,0.07,64.0,1.77,432.0,22.0,54.0,17.0,5.4,0.9,0.51,9.299999999999999,135.0,fruits
17,"aceituna negra, con hueso","olive, black, with bone",289.0,29.8,2.0,60.7,3.5,4.0,20.9,3.4,4.2,False,0.0,6.67,0.0,1.99,11.0,1.0,0.1,0.1,0.0,0.02,0.0,61.0,1.5,432.0,22.0,54.0,24.0,5.0,0.9,0.5,24.299999999999997,135.0,fruits
18,"acelga, cruda","chard, raw",21.0,0.2,2.1,94.4,1.0,2.7,0.0,0.0,0.0,False,0.0,183.0,0.0,0.03,22.0,0.4,0.13,0.07,0.0,0.1,35.0,80.0,2.3,378.0,81.0,170.0,43.0,1.0,0.3,0.2,0.0,425.0,vegetables
19,"acelga, en conserva","swiss chard, canned",17.0,0.08,1.8,94.5,1.3,2.3,0.016,0.028,0.012,False,0.0,227.0,0.0,1.89,10.0,0.66,0.09,0.03,0.0,0.09,18.0,80.0,2.3,510.0,86.0,130.0,33.0,14.0,0.8,0.2,0.044,325.0,vegetables
20,"acelgas, hervidas","chard, boiled",29.0,0.39,1.9,92.3,0.8,4.37,0.04,0.07,0.03,False,0.0,227.0,0.0,0.03,10.0,0.58,0.05,0.05,0.0,0.08,13.5,80.0,2.63,275.5,56.8,108.75,38.0,35.0,0.79,0.02,0.11000000000000001,271.875,vegetables
21,"achicoria, cruda","chicory, raw",19.0,0.6,0.5,95.2,0.9,2.8,0.0,0.3,0.2,False,0.0,266.7,0.0,0.1,14.0,0.3,0.09,0.14,0.0,0.01,5.0,21.0,0.4,170.0,6.0,1.0,27.0,0.4,1.0,0.2,0.3,2.5,vegetables
22,agua de la red,tap water,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drinks
23,"agua mineral, mineralización debil",mineral water,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,drinks
24,"agua, con gas, embotellada","sparkling water, bottled",0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,0.0,4.8,0.83,111.0,0.0,1.0,0.0,0.0,0.0,277.5,drinks
25,aguacate,avocado,137.0,12.0,1.5,78.8,6.3,0.4,9.01,1.04,1.41,False,0.0,19.0,0.0,3.2,11.0,1.5,0.12,0.09,0.0,0.42,17.0,16.0,0.7,400.0,41.0,2.0,28.0,2.0,0.0,0.3,10.05,5.0,fruits
26,aguacate congelado,"avocado, frozen",224.0,23.5,1.9,67.9,6.3,0.4,15.5,1.9,1.9,False,0.0,7.8333,0.0,1.3,30.0,1.4,0.15,0.08,0.0,0.36,6.0,12.0,0.49,487.0,30.0,4.7,43.0,1.0,0.4,0.4,17.4,11.75,fruits
27,aguardiente,aguardiente,237.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drinks
28,ajo,garlic,117.0,0.23,3.9375,70.4,1.2,24.3,0.03,0.1,0.05,False,0.0,0.0,0.0,0.1,4.8,0.27,0.02,0.16,0.0,0.32,14.0,17.8,1.2,446.0,24.1,19.0,134.0,4.7,0.5,1.1,0.13,47.5,vegetables
29,"ajo, en polvo","garlic, powder",371.0,0.73,16.55,6.45,9.0,72.73,0.115,0.178,0.249,False,0.0,53.0,0.0,0.67,47.0,1.458,0.267,0.15,0.0,1.654,1.2,646.0,8.68,1193.0,264.0,60.0,414.0,2.7,23.9,2.99,0.293,150.0,misc
30,"ajo, frito","garlic, fried",102.0,0.59,7.7,64.3,1.55,15.97,0.03,0.3,0.1,False,0.0,0.29,0.0,0.01,3.25,1.87,0.03,0.1,0.0,0.29,11.48,18.62,1.86,607.6,24.5,3.82,166.6,2.94,1.96,0.98,0.32999999999999996,9.549999999999999,vegetables
31,albahaca,basil,178.0,3.98,14.4,6.4,40.5,20.5,0.45,2.17,0.24,False,0.0,264.0,0.0,7.48,247.0,6.95,0.32,0.15,0.0,2.32,61.2,154.0,42.0,3433.0,422.0,34.0,490.0,0.0,2.8,5.82,2.62,85.0,vegetables
32,albaricoque,apricot,42.0,0.0,0.8,87.6,2.1,9.5,0.04,0.02,0.01,False,0.0,26.0,0.0,0.7,5.0,0.6,0.07,0.05,0.0,0.07,7.0,17.0,0.5,293.0,12.0,1.0,24.0,0.5,1.0,0.1,0.06,2.5,fruits
33,albondigas en conserva,"meatball, canned",142.0,9.72,6.8,71.6,5.05,6.8,3.91,2.73,2.828,False,90.0,9.55,0.23,1.43,34.08,5.0,0.13,0.06,24.84,0.12,0.0,124.0,6.3,614.3,89.4,929.3,243.2,6.7,8.2,0.43,6.640000000000001,2323.25,misc
34,"alcachofa, cruda","artichoke, frozen, raw",23.0,0.2,2.9,83.33,9.4,2.26,0.0,0.09,0.0,False,0.0,4.0,0.0,0.2,28.0,0.8,0.04,0.05,0.0,0.09,6.0,44.0,1.0,300.0,27.0,15.0,50.0,1.0,0.2,0.1,0.09,37.5,vegetables
35,alcachofas en conserva,"artichoke, canned",18.0,0.16,2.9,86.3,9.4,1.2,0.005,0.068,0.037,False,0.0,15.0,0.0,0.2,47.0,0.9,0.04,0.05,0.0,0.09,6.0,44.0,1.0,300.0,27.0,15.0,50.0,0.4,0.2,0.1,0.07300000000000001,37.5,vegetables
36,alcaparra,caper,26.0,0.86,2.36,85.16,1.5,2.1,0.063,0.304,0.233,False,0.0,13.8,0.0,0.88,23.0,0.652,0.139,0.018,0.0,0.023,4.3,40.0,1.67,40.0,33.0,2964.0,10.0,0.0,1.2,0.32,0.367,7410.0,vegetables
37,alioli,"garlic mayonnaise, oil unspecified",785.0,86.89,0.46,8.25,0.14,2.84,61.74,8.71,12.61,False,0.0,0.0017,0.0,10.45,0.56,0.03,0.0,0.02,0.0,0.04,0.0,2.46,0.14,51.77,7.0,565.01,15.65,32.0,0.2,0.13,70.45,1412.525,misc
38,almeja,clams,48.0,1.61,10.7,88.8,0.0,0.0,0.24,0.59,0.34,True,40.0,90.0,0.0,0.4,16.0,4.1,0.14,0.04,0.0,0.14,0.0,75.0,24.0,314.0,51.0,56.0,130.0,160.0,24.3,1.3,0.83,140.0,seafood
39,almejas en conserva,canned clams,81.0,0.4,17.43,80.7,0.0,1.5,0.04,0.121,0.1,False,41.0,89.8,0.0,0.37,12.8,4.1,0.14,0.03,5.0,0.03,0.0,142.4,25.6,314.0,50.8,56.0,169.0,27.1,24.3,1.3,0.161,140.0,seafood
40,"almendra, cruda","almond, raw",589.0,45.22,19.1333,5.8682,8.3475,6.2038,27.98,11.14,4.32,True,0.0,0.0,0.0,24.0,70.0,5.3,0.78,0.21,0.0,0.11,0.0,248.25,3.5875,767.25,258.125,10.3625,524.875,2.0,4.0,3.6,39.120000000000005,25.90625,legumes
41,"almendra, cruda, con cáscara","almond, raw, in shell",589.0,54.1,21.22,5.65,13.5,5.36,36.6,12.861,4.142,True,0.0,20.0,0.0,26.15,45.0,5.5,0.62,0.22,0.0,0.155,0.0,252.0,4.1,835.0,270.0,14.0,454.0,2.0,3.5,3.2,49.461,35.0,legumes
42,"almendra, frita, salada","almond, fried, salted",593.0,55.9623,19.0,3.0,15.0,4.5,38.5453,10.5315,4.4232,False,0.0,0.0,0.0,24.0,70.0,2.5,0.75,0.23,0.0,0.08,0.0,250.0,4.2,800.0,250.0,400.0,470.0,1.0,4.4,3.2,49.0768,1000.0,legumes
43,"almendra, tostada","almond, toast",590.0,52.93,22.9,1.55,13.4,6.6,33.658,12.649,4.047,False,0.0,1.0,0.0,26.264,36.0,5.917,0.57,0.13,0.0,0.09,0.0,240.0,3.1,790.0,270.0,14.0,560.0,2.0,1.17,3.3,46.307,35.0,legumes
44,almidón de arroz,rice starch,350.0,0.0,0.76,14.2,0.0,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,20.0,0.28,8.0,20.0,61.0,100.0,0.6,0.0,0.5,0.0,152.5,cereals
45,almidón de maíz,corn starch,374.0,0.0,0.26,7.5,0.9,91.3,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.0,0.47,3.0,3.0,9.0,13.0,0.5,2.8,0.06,0.0,22.5,cereals
46,almidón de trigo,wheat starch,354.0,0.0,0.4,13.4,0.0,86.1,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,2.0,100.0,0.6,0.0,0.5,0.0,5.0,cereals
47,altramuz,lupin,399.0,9.74,36.17,10.44,0.0,40.38,3.94,2.439,1.156,False,0.0,6.9,0.0,0.0,335.0,2.19,0.22,0.64,0.0,0.357,4.8,176.0,4.36,1013.0,198.0,15.0,440.0,0.0,8.2,4.75,6.379,37.5,legumes
48,"alubia blanca, en conserva","white bean, canned",94.0,0.2375,6.7,72.5,4.4,15.7,0.0,0.12,0.07,False,0.0,0.0,0.0,0.05,60.0,0.1,0.04,0.1,0.0,0.07,0.0,71.0,2.8,362.0,39.0,4.0,84.0,2.0,16.0,2.3,0.12,10.0,legumes
49,"alubia blanca, seca, cruda","white bean, dried, raw",272.0,1.3425,22.225,10.8,19.7,41.6364,0.0977,0.6975,0.2788,True,0.0,1.0833,0.0,1.125,308.0,2.4,0.165,0.5,0.0,0.46,1.7,138.667,5.19,1718.0,135.3,13.7,470.0,1.6,3.2,3.655,0.7952,34.25,legumes
50,"alubia negra, seca, remojada, hervida","pinto bean, dried, steeped, boiled",92.0,0.2125,8.4,68.9,8.7,13.7,0.0,0.17,0.0,False,0.0,0.6667,0.0,0.24,74.0,0.5,0.06,0.16,0.0,0.1,1.0,66.0,2.5,420.0,47.0,3.0,130.0,2.0,16.0,2.3,0.17,7.5,legumes
51,"anacardo, crudo","cashew nut, raw",577.0,43.1,17.5,6.9,1.4,32.0,27.74,8.01,8.71,True,0.0,10.0,0.0,5.8,68.0,2.0,0.26,0.63,0.0,0.16,0.0,31.0,2.8,552.0,267.0,14.0,373.0,0.01,34.0,4.8,35.75,35.0,legumes
52,anchoas en aceite vegetal,anchovy in vegetable oil,204.0,9.71,28.89,61.0,0.0,0.0,3.77,2.562,2.203,False,85.0,67.4,11.8,3.33,18.5,3.8,0.363,0.078,3.4,0.203,0.0,232.0,4.63,554.0,69.0,3668.0,262.0,0.0,68.1,2.44,6.332,9170.0,seafood
53,"anguila, al horno","european eel, baked",223.0,14.2222,23.7,59.3,0.0,0.0,7.1,2.1,3.6,False,160.0,980.0,5.0,5.6,3.0,4.5,0.3,0.18,1.0,0.08,0.0,25.0,0.6,340.0,20.0,65.0,270.0,25.0,8.3,3.0,9.2,162.5,seafood
54,"anguila, cruda","european eel, raw",219.0,15.525,19.97,61.9667,0.0,0.0,7.031,2.5898,3.9968,False,150.0,1200.0,4.9,4.14,2.9,1.4,0.35,0.2,1.0,0.25,0.0,19.0,1.2,270.0,19.0,89.0,310.0,25.0,6.5,2.5,9.6208,222.5,seafood
55,"anguila, hervida","europan eel, boiled",197.0,12.7778,20.5,62.0,0.0,0.0,6.4,1.8,3.3,False,140.0,1000.0,5.0,4.14,4.0,2.5,0.34,0.13,1.0,0.25,0.0,20.0,0.8,200.0,20.0,80.0,230.0,25.0,8.3,2.5,8.200000000000001,200.0,seafood
56,"angula, cruda","elver, raw",213.0,16.5,16.3,67.2,0.0,0.0,8.9,1.3,2.8,False,50.0,1000.0,110.0,5.6,13.0,5.5,0.32,0.17,1.0,0.3,0.0,30.0,1.0,270.0,19.0,90.0,170.0,10.0,0.0,1.8,10.200000000000001,225.0,seafood
57,"anís, seco","anisette, dry",265.0,0.0,0.0,61.4,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.5,drinks
58,aperitivos de trigo,wheat appetizer,509.0,25.9,10.3,0.0,6.3,58.2,11.4,3.0,11.4,True,0.0,3.37,0.0,1.74,10.29,3.8,0.1,0.1,0.24,0.12,0.0,61.2,15.3,349.5,60.3,1234.3,199.7,10.0,17.1,1.9,14.4,3085.75,misc
59,"apio, crudo","celery, raw",11.0,0.1,0.9,94.4,2.0,1.5,0.0,0.0,0.0,False,0.0,95.0,0.0,0.2,18.0,0.4,0.04,0.05,0.0,0.1,8.0,52.0,0.5,305.0,14.0,110.0,32.0,0.0,0.4,0.1,0.0,275.0,vegetables
60,"apio, en conserva en salmuera","celery, canned, in brine",9.0,0.0,0.8,94.5,2.3,1.3,0.0,0.0,0.0,False,0.0,9.3333,0.0,0.19,22.0,0.3,0.04,0.04,0.0,0.07,6.0,36.0,0.4,283.0,10.0,343.0,25.0,1.1,0.046,0.1,0.0,857.5,vegetables
61,arandano,bilberry,33.0,0.6,0.625,87.8,4.9,6.05,0.0,0.0,0.0,False,0.0,5.7,0.0,1.921,10.0,0.09,0.02,0.02,0.0,0.06,22.0,10.0,0.74,78.0,2.4,1.0,13.0,1.0,0.1,0.131,0.0,2.5,fruits
62,"arenque, ahumado","herring, smoked",254.0,13.9,23.0,59.0,0.0,0.0,4.32,5.67,3.48,True,50.0,13.0,23.5,1.0,10.0,2.5,0.4,0.08,5.0,0.45,0.0,60.0,1.8,520.0,50.0,550.0,428.0,0.1,52.6,0.5,9.99,1375.0,seafood
63,"arenque, salado","herring, salted",300.0,26.0,17.0,57.0,0.0,0.0,7.6,11.6,6.4,False,13.0,50.0,40.0,1.71,8.0,4.0,0.22,0.03,3.0,1.3,2.7,20.0,1.0,75.0,36.0,2610.0,220.0,18.0,22.0,0.5,19.2,6525.0,seafood
64,arroz,rice,387.0,0.9,7.0,5.9,0.2,86.0,0.23,0.32,0.21,False,0.0,0.0,0.0,0.3,20.0,3.1,0.03,0.05,0.0,0.3,0.0,10.0,0.5,110.0,13.0,6.0,100.0,2.0,10.0,0.2,0.55,15.0,cereals
65,arroz con leche,rice with milk,92.0,1.3,3.3,78.9,0.1,16.4,0.31,0.08,0.77,False,9.0,18.0,0.1,0.15,5.0,0.81,0.13,0.04,0.24,0.09,0.0,109.0,0.2,138.0,14.0,38.0,96.0,6.3,1.9,0.3,0.39,95.0,dairy
