,misc_group
0,"Ajo, en polvo"
1,Albondigas en conserva
2,Alioli
3,Aperitivos de trigo
4,Azafrán
5,Bocadillo
6,Caldo vegetal
7,"Canela, en polvo"
8,Canelones
9,"Chile, rojo"
10,"Chile, verde"
11,Comino
12,Complejo vitaminico
13,Corteza de trigo
14,Crema de chocolate y nata
15,"Crema de chocolate, baja en calorías"
16,Crema de coco
17,Crema de vainilla y mousse de chocolate
18,Cubito de caldo
19,Curry
20,Empanada de carne
21,Empanadilla
22,"Eneldo, seco"
23,Ensaladilla rusa
24,Fabada
25,Flamenquín
26,"Flan de huevo, bajo en calorías"
27,Fritos de maíz
28,"Galletas saladas, con queso"
29,Gazpacho
30,Gelatina
31,Gomasio
32,"Guindilla, en polvo"
33,"Guindilla, picante"
34,Gusanito
35,Hinojo
36,Hojaldre
37,Jengibre
38,Kebab
39,Ketchup
40,Lasaña
41,"Laurel, hoja"
42,"Mayonesa, aceite de oliva"
43,"Mayonesa, aceite de soja"
44,"Menta, fresca"
45,Mojo picon
46,Mostaza
47,Nuez moscada
48,"Orégano, seco"
49,Paella
50,Paella marinera
51,"Palomitas de maíz, sin aceite, sin sal"
52,Pasta de sésamo
53,"Patatas chips, ""lights"""
54,"Patatas, fritas, chips"
55,"Perejil, fresco"
56,"Pimentón, en polvo"
57,"Pimienta, blanca"
58,"Pimienta, negra"
59,"Pizza, precocinada"
60,Pudding de pasas
61,Rollito de primavera
62,Romero
63,Sal de mar
64,Sal yodada
65,Salsa agridulce
66,Salsa al curry
67,Salsa al roquefort
68,Salsa barbacoa
69,Salsa bechamel
70,Salsa boloñesa
71,Salsa carbonara
72,Salsa de queso
73,Salsa de soja
74,Salsa napolitana
75,"Salsa siciliana, picante"
76,"Salsa vinagreta, con aceite de oliva"
77,"San jacobo, congelado"
78,Seitán
79,Sofrito
80,Sopa de sobre maravilla
81,"Sopa de sobre, sin reconstituir"
82,Suplemento proteico
83,Surimi
84,Tabasco
85,Tomate frito
86,"Tomillo, seco"
87,Vainilla
88,Vinagre balsámico
89,Vinagre de manzana
