foodname_ESP,foodname_ENG,quantity,energy,fats,prot,carbs,water,fiber,m_unsat_fats,p_unsat_fats,sat_fats,palm_acid,calcium,iron,potassium,magnesium,sodium,phosphorus,iodide,selenium,zinc,A,D,E,B9,B3,B2,B1,B12,B6,C
Aceite de algodón,Cotton oil,100,888.0,100.0,0.0,0.0,0.0,0.0,17.8,51.9,25.9,True,0.0,0.0,38.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aceite de cacahuete,Peanut oil,100,887.0,99.9,0.0,0.1,0.0,0.0,47.8,28.5,18.8,True,,0.0,17.2,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
Aceite de coco,Coconut oil,100,888.0,100.0,0.0,0.0,0.0,0.0,4.96,0.77,84.31,True,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aceite de colza,Rape oil,100,888.0,100.0,0.0,0.0,0.0,0.0,65.3,28.01,6.29,True,0.0,0.0,20.95,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Aceite de germen de trigo,Wheat germ oil,100,887.0,99.9,0.0,0.1,0.0,0.0,15.1,61.7,18.8,False,0.0,0.0,215.4,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,
Aceite de girasol,Sunflower oil,100,887.0,99.9,,,0.0,0.0,25.38,63.5,10.62,True,0.0,,56.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
Aceite de grano de uva,Grape seed oil,100,887.0,99.9,0.0,0.1,0.0,0.0,15.6,67.7,12.2,True,,0.0,32.0,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,0.0
Aceite de hígado de bacalao,Cod liver oil,100,887.0,99.9,0.0,0.1,0.0,0.0,44.6,30.5,21.1,False,20000.0,210.0,20.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,
Aceite de lino,Flaxseed oil,100,888.0,100.0,0.0,0.0,0.0,0.0,20.2,66.0,9.4,True,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aceite de nuez,Walnut oil,100,886.0,99.7908,,,0.0,0.0,17.1,69.0,9.3,True,,0.0,10.8,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0
Aceite de oliva,Olive oil,100,887.0,99.9,0.0,0.1,0.0,0.0,71.0,11.93,17.06,True,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aceite de oliva virgen extra,Extra virgin olive oil,100,888.0,100.0,,,0.0,0.0,78.2,7.5,14.21,True,34.0,0.0,18.34,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,
"Aceite de oliva virgen extra, producción ecologica","Extra virgin olive oil, organic",100,888.0,100.0,,,0.0,0.0,,,,True,34.0,0.0,19.76,,,,,0.0,,0.0,,,,,,,0.0,0.0,
Aceite de palma,Palm oil,100,888.0,100.0,0.0,0.0,0.0,0.0,41.15,10.35,49.44,True,0.0,0.0,21.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aceite de sésamo,Sesame oil,100,888.0,100.0,0.0,0.0,0.0,0.0,39.7,41.7,14.2,True,0.0,0.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aceite de soja,"Soye, oil",100,888.0,99.99,0.0,0.01,0.0,0.0,27.13,58.47,14.4,True,0.0,0.0,16.75,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
