,seafood_group
0,Almeja
1,Almejas en conserva
2,Anchoas en aceite vegetal
3,"Anguila, al horno"
4,"Anguila, cruda"
5,"Anguila, hervida"
6,"Angula, cruda"
7,"Arenque, ahumado"
8,"Arenque, salado"
9,Atún en aceite de oliva isabel
10,Atun en aceite vegetal
11,Atún en escabeche
12,"Atún, al horno"
13,"Atún, al natural"
14,"Atún, crudo"
15,"Atún, plancha"
16,Bacaladilla
17,"Bacalao, ahumado"
18,"Bacalao, crudo"
19,"Bacalao, fresco, al horno"
20,"Bacalao, frito"
21,"Bacalao, salado, crudo"
22,"Bacalao, salado, remojado, crudo"
23,Berberechos
24,Berberechos en conserva
25,Besugo
26,"Bígaro, hervido"
27,Bogavante
28,"Bogavante, hervido"
29,"Bonito del norte, al vapor"
30,"Bonito del norte, enlatado en aceite de soja"
31,Bonito en aceite vegetal
32,"Bonito, enlatado en aceite, escurrido"
33,Boquerón
34,"Boquerón, frito"
35,"Breca, cruda"
36,"Caballa, al horno"
37,"Caballa, cruda"
38,"Caballa, enlatada en aceite, escurrida"
39,"Cabracho o rascacio, crudo"
40,"Calamar, asado"
41,"Calamar, conserva"
42,"Calamar, crudo"
43,Calamares en aceite vegetal
44,Camarón
45,Cangrejo
46,Cangrejo de río crudo
47,"Cangrejo, en conserva"
48,Caracol
49,"Carpa, al horno"
50,"Carpa, cruda"
51,Caviar
52,"Centollo, crudo"
53,Chipiron
54,Chirla
55,Cigala
56,Congrio
57,"Dorada, cruda"
58,"Dorada, plancha"
59,"Faneca, cruda"
60,"Fletan, crudo"
61,Gallo
62,"Gamba quisquilla, congelada"
63,"Gamba roja, cruda"
64,"Gamba, hervida"
65,"Jurel, crudo"
66,Langosta
67,Langostino
68,Lenguado
69,"Lenguado, al horno"
70,"Lenguado, frito"
71,"Lenguado, plancha"
72,"Lija, cruda"
73,Lubina
74,"Lucio, al horno"
75,Mejillon
76,"Mejillón, en conserva, al natural"
77,"Mejillón, en escabeche"
78,"Mejillón, hervido"
79,Merluza fresca
80,"Merluza, congelada, cruda"
81,"Merluza, rebozada, frita"
82,"Mero, crudo"
83,"Mero, plancha"
84,"Mújol, al horno"
85,"Mújol, crudo"
86,Nécora
87,"Ostra, cruda"
88,"Palometa, cruda"
89,"Panga, cruda"
90,"Perca, al horno"
91,"Perca, cruda"
92,Percebe
93,"Pescadilla, congelada, cruda"
94,"Pescadilla, rebozada en harina, frita"
95,"Pescado, genérico"
96,"Pez espada, crudo"
97,"Pez espada, emperador, plancha"
98,"Pijota, cruda"
99,"Platija, al vapor"
100,"Platija, cruda"
101,Pulpo
102,"Pulpo, hervido"
103,"Rape, a la parrilla"
104,"Rape, crudo"
105,"Rape, plancha"
106,"Raya, cruda"
107,Rodaballo
108,"Salema, cruda"
109,Salmón
110,Salmón ahumado
111,"Salmón, plancha"
112,Salmonete
113,Sardina
114,"Sardina, asada"
115,"Sardina, enlatada, en aceite, escurrida"
116,"Sardina, enlatada, en escabeche"
117,"Sargo, crudo"
118,Sepia
119,"Tenca, cruda"
120,Trucha
121,"Trucha, ahumada"
122,Vieira
123,"Vieja, cruda"
124,"Volador, crudo"
125,Zamburiñas
